Tea_ID,Tea_Type,Region,Site,Plot,Lat,Lon,Elevation,Initial,Depth,Burial,Recovery,Days,Season,Season2,Snow_Days,Final,Label,Tea_init,Tea_final,Loss,Treatment,Contributor,Soil moisture,Additional information
AUS_25_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Year_1,-36.83058,147.32503,1880,2.334,8,16/12/15,04/01/17,385,Year,Year_Rooibos,169,1.4507,No,1.968,1.32716,0.33,None,Susanna Venn,,
AUS_26_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Year_1,-36.83058,147.32503,1880,2.2378,8,16/12/15,04/01/17,385,Year,Year_Rooibos,169,1.8767,No,1.877,1.75316,0.07,None,Susanna Venn,,
AUS_27_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Year_1,-36.83058,147.32503,1880,2.3242,8,16/12/15,04/01/17,385,Year,Year_Rooibos,169,1.4024,No,1.959,1.27886,0.35,None,Susanna Venn,,
AUS_28_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Year_1,-36.83058,147.32503,1880,2.2651,8,16/12/15,04/01/17,385,Year,Year_Rooibos,169,1.4388,No,1.903,1.31526,0.31,None,Susanna Venn,,
AUS_29_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Year_1,-36.83058,147.32503,1880,2.2718,8,16/12/15,04/01/17,385,Year,Year_Rooibos,169,1.4405,No,1.909,1.31696,0.31,None,Susanna Venn,,
AUS_30_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Year_1,-36.83058,147.32503,1880,2.2289,8,16/12/15,04/01/17,385,Year,Year_Rooibos,169,1.4226,No,1.869,1.29906,0.3,None,Susanna Venn,,
AUS_31_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Summer_1,-36.83058,147.32503,1880,2.307,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,169,1.5153,No,1.943,1.39176,0.28,None,Susanna Venn,,
AUS_32_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Summer_1,-36.83058,147.32503,1880,2.2686,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,169,1.4882,No,1.906,1.36466,0.28,None,Susanna Venn,,
AUS_33_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Summer_1,-36.83058,147.32503,1880,2.2635,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,169,1.4014,No,1.902,1.27786,0.33,None,Susanna Venn,,
AUS_34_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Summer_1,-36.83058,147.32503,1880,2.2262,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,169,1.5008,No,1.866,1.37726,0.26,None,Susanna Venn,,
AUS_35_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Summer_1,-36.83058,147.32503,1880,2.3318,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,169,1.369,No,1.966,1.24546,0.37,None,Susanna Venn,,
AUS_36_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Summer_1,-36.83058,147.32503,1880,2.1974,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,169,1.4322,No,1.839,1.30866,0.29,None,Susanna Venn,,
AUS_37_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Year_2,-36.83058,147.32503,1880,2.203,8,16/12/15,04/01/17,385,Year,Year_Rooibos,169,1.4248,No,1.844,1.30126,0.29,None,Susanna Venn,,
AUS_38_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Year_2,-36.83058,147.32503,1880,2.225,8,16/12/15,04/01/17,385,Year,Year_Rooibos,169,1.3946,No,1.865,1.27106,0.32,None,Susanna Venn,,
AUS_39_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Year_2,-36.83058,147.32503,1880,2.302,8,16/12/15,04/01/17,385,Year,Year_Rooibos,169,1.5139,No,1.938,1.39036,0.28,None,Susanna Venn,,
AUS_40_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Year_2,-36.83058,147.32503,1880,2.202,8,16/12/15,04/01/17,385,Year,Year_Rooibos,169,1.3831,No,1.843,1.25956,0.32,None,Susanna Venn,,
AUS_41_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Year_2,-36.83058,147.32503,1880,2.289,8,16/12/15,04/01/17,385,Year,Year_Rooibos,169,1.3373,No,1.926,1.21376,0.37,None,Susanna Venn,,
AUS_42_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Year_2,-36.83058,147.32503,1880,2.309,8,16/12/15,04/01/17,385,Year,Year_Rooibos,169,1.4677,No,1.944,1.34416,0.31,None,Susanna Venn,,
AUS_43_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Summer_2,-36.83058,147.32503,1880,2.261,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,169,1.8777,No,1.899,1.75416,0.08,None,Susanna Venn,,
AUS_44_R,Rooibos,Australian Alps,Warby Corner,Aus_snowpatch_mid_Summer_2,-36.83058,147.32503,1880,2.253,8,16/12/15,17/03/16,92,Summer,Summer_Rooibos,169,1.5575,No,1.892,1.43396,0.24,None,Susanna Venn,,
